ID_Proyecto,Tecnologia,Operador,Capacidad_Instalada_MW,Generacion_Diaria_MWh,Eficiencia_Planta_Pct,Conectado_SIN,Estado_Actual,Inversion_Inicial_MUSD,Fecha_Entrada_Operacion
PLANT_000,Pequeña Hidroeléctrica (PCH),AES,151.98,242.91,88.0,True,Mantenimiento,46.7,2021-09-07
PLANT_001,Eólica Onshore,AES,193.57,1109.55,60.8,True,Mantenimiento,7.14,2022-08-01
PLANT_002,Solar Fotovoltaica,Celsia,88.23,547.11,29.5,True,Pruebas,19.72,2020-02-10
PLANT_003,Solar Fotovoltaica,Isagen,56.03,1010.19,36.5,True,En Construcción,2.38,2022-09-24
PLANT_004,Pequeña Hidroeléctrica (PCH),EPM,159.76,413.26,30.9,True,En Construcción,42.9,2024-06-21
PLANT_005,Biomasa,AES,65.59,131.03,34.7,True,Pruebas,18.58,2020-06-24
PLANT_006,Eólica Onshore,Empresa Privada Local,60.23,1488.95,39.5,True,Operación Comercial,31.92,2022-10-03
PLANT_007,Eólica Onshore,AES,46.88,242.74,59.4,True,En Construcción,36.03,2022-02-16
PLANT_008,Solar Fotovoltaica,Isagen,26.37,1482.75,62.0,True,En Planeación,22.06,2021-12-15
PLANT_009,Solar Fotovoltaica,Empresa Privada Local,51.66,1466.15,49.1,True,Pruebas,16.02,2023-10-11
PLANT_010,Biomasa,Celsia,71.39,1192.79,64.2,False,En Construcción,48.15,2024-08-13
PLANT_011,Biomasa,EPM,134.96,992.54,21.5,True,Operación Comercial,48.26,2021-08-17
PLANT_012,Biomasa,Celsia,12.98,870.93,22.0,False,En Construcción,15.18,2021-09-16
PLANT_013,Pequeña Hidroeléctrica (PCH),Celsia,42.5,1300.49,28.7,True,Mantenimiento,24.5,2023-11-20
PLANT_014,Solar Fotovoltaica,EPM,161.9,441.26,56.4,True,En Planeación,48.67,2024-07-19
PLANT_015,Pequeña Hidroeléctrica (PCH),EPM,29.81,706.85,32.1,True,Pruebas,1.24,2020-03-23
PLANT_016,Solar Fotovoltaica,AES,68.86,932.89,37.7,True,Mantenimiento,21.22,2020-07-13
PLANT_017,Solar Fotovoltaica,AES,173.0,622.67,47.0,True,Operación Comercial,5.92,2024-05-23
PLANT_018,Eólica Onshore,EPM,31.41,646.95,79.9,True,Mantenimiento,25.95,2023-09-04
PLANT_019,Solar Fotovoltaica,Empresa Privada Local,17.01,502.12,16.1,True,Mantenimiento,2.21,2022-09-09
PLANT_020,Solar Fotovoltaica,Enel,97.17,850.71,67.0,True,Operación Comercial,20.94,2023-05-28
PLANT_021,Pequeña Hidroeléctrica (PCH),AES,60.83,1277.36,68.5,True,Mantenimiento,11.81,2023-10-22
PLANT_022,Solar Fotovoltaica,Enel,112.9,310.28,78.9,True,Pruebas,27.13,2020-10-21
PLANT_023,Pequeña Hidroeléctrica (PCH),Empresa Privada Local,160.86,1402.31,89.6,True,En Construcción,49.8,2021-07-16
PLANT_024,Biomasa,EPM,27.86,1036.74,16.6,True,Mantenimiento,40.23,2024-02-14
PLANT_025,Solar Fotovoltaica,Empresa Privada Local,116.35,1236.68,27.3,True,Pruebas,42.44,2023-02-09
PLANT_026,Solar Fotovoltaica,AES,101.35,838.72,85.9,True,En Construcción,32.13,2024-02-07
PLANT_027,Pequeña Hidroeléctrica (PCH),Celsia,29.24,1171.48,51.7,True,En Construcción,3.04,2023-04-08
PLANT_028,Biomasa,EPM,124.99,34.14,60.2,True,Mantenimiento,11.13,2022-01-27
PLANT_029,Eólica Onshore,Isagen,55.09,1229.39,68.0,True,Pruebas,46.33,2020-02-27
PLANT_030,Biomasa,Enel,97.82,69.81,69.3,True,Mantenimiento,18.94,2020-11-08
PLANT_031,Pequeña Hidroeléctrica (PCH),Empresa Privada Local,16.91,1335.97,89.5,True,Operación Comercial,6.08,2020-07-25
PLANT_032,Biomasa,EPM,92.19,1488.02,94.8,True,En Construcción,35.42,2022-10-12
PLANT_033,Pequeña Hidroeléctrica (PCH),Empresa Privada Local,61.64,448.16,72.6,False,Mantenimiento,15.67,2021-04-14
PLANT_034,Pequeña Hidroeléctrica (PCH),EPM,164.57,323.37,38.0,False,En Construcción,14.17,2020-11-01
PLANT_035,Eólica Onshore,AES,11.87,1150.39,85.4,True,Pruebas,49.9,2022-10-10
PLANT_036,Solar Fotovoltaica,AES,84.01,387.01,18.9,True,En Planeación,43.05,2021-06-01
PLANT_037,Pequeña Hidroeléctrica (PCH),AES,91.96,1299.69,33.5,True,Mantenimiento,20.99,2024-10-17
PLANT_038,Pequeña Hidroeléctrica (PCH),Empresa Privada Local,145.14,163.24,86.8,True,Mantenimiento,49.03,2023-08-06
PLANT_039,Eólica Onshore,Isagen,115.07,197.67,35.5,True,En Construcción,32.86,2020-02-26
PLANT_040,Pequeña Hidroeléctrica (PCH),AES,133.61,1468.94,32.7,True,Pruebas,37.36,2023-11-23
PLANT_041,Solar Fotovoltaica,EPM,155.52,1014.02,26.1,False,Operación Comercial,2.54,2021-04-29
PLANT_042,Eólica Onshore,AES,172.51,1271.86,83.7,True,Pruebas,6.96,2023-05-10
PLANT_043,Solar Fotovoltaica,Celsia,63.12,493.25,55.0,True,Mantenimiento,32.02,2021-07-15
PLANT_044,Solar Fotovoltaica,AES,107.84,1017.96,69.0,True,Operación Comercial,45.05,2022-04-16
PLANT_045,Eólica Onshore,Empresa Privada Local,168.1,895.42,34.1,True,Pruebas,31.56,2022-05-11
PLANT_046,Pequeña Hidroeléctrica (PCH),Isagen,197.9,908.69,75.6,True,En Planeación,7.57,2021-09-18
PLANT_047,Solar Fotovoltaica,Celsia,177.96,1026.97,75.8,False,En Construcción,6.67,2024-02-10
PLANT_048,Solar Fotovoltaica,Empresa Privada Local,74.61,867.29,40.0,True,Pruebas,42.37,2023-06-03
PLANT_049,Solar Fotovoltaica,Empresa Privada Local,39.44,649.3,47.9,True,Pruebas,7.83,2024-10-17
PLANT_050,Solar Fotovoltaica,Empresa Privada Local,98.13,421.12,31.8,True,En Planeación,26.49,2023-02-13
PLANT_051,Eólica Onshore,EPM,148.46,1155.19,93.1,True,Mantenimiento,2.82,2024-06-16
PLANT_052,Eólica Onshore,Empresa Privada Local,98.77,347.15,66.6,True,En Construcción,4.95,2023-09-22
PLANT_053,Biomasa,EPM,96.89,1041.61,89.8,True,Pruebas,33.95,2024-10-24
PLANT_054,Biomasa,Empresa Privada Local,167.73,357.67,39.3,True,Operación Comercial,34.77,2021-12-23
PLANT_055,Solar Fotovoltaica,Enel,72.6,941.74,77.6,True,Pruebas,17.73,2021-04-30
PLANT_056,Pequeña Hidroeléctrica (PCH),Celsia,172.03,1123.15,76.3,True,En Construcción,11.56,2020-06-02
PLANT_057,Solar Fotovoltaica,Enel,81.66,335.88,70.3,True,Pruebas,40.87,2023-05-03
PLANT_058,Pequeña Hidroeléctrica (PCH),Empresa Privada Local,65.98,99.32,92.3,True,En Planeación,11.64,2020-08-24
PLANT_059,Solar Fotovoltaica,Celsia,91.07,205.15,46.5,True,Pruebas,27.56,2020-05-22
PLANT_060,Biomasa,Celsia,152.61,912.94,25.5,True,Pruebas,48.44,2024-09-09
PLANT_061,Biomasa,Isagen,25.64,1275.68,68.7,True,Operación Comercial,8.24,2022-01-22
PLANT_062,Pequeña Hidroeléctrica (PCH),Enel,39.69,77.05,73.3,True,En Planeación,47.1,2021-10-15
PLANT_063,Solar Fotovoltaica,Isagen,190.31,1103.89,61.0,True,En Planeación,9.96,2023-01-07
PLANT_064,Pequeña Hidroeléctrica (PCH),Celsia,35.51,518.56,31.5,True,Pruebas,28.8,2022-10-14
PLANT_065,Biomasa,EPM,113.76,723.01,55.4,True,Operación Comercial,19.47,2023-08-11
PLANT_066,Solar Fotovoltaica,Celsia,116.07,1394.0,40.0,True,Pruebas,48.28,2021-08-23
PLANT_067,Solar Fotovoltaica,Isagen,98.18,504.64,49.2,True,Pruebas,14.4,2024-11-27
PLANT_068,Pequeña Hidroeléctrica (PCH),Enel,129.13,703.35,66.6,True,En Construcción,20.58,2022-12-15
PLANT_069,Eólica Onshore,Empresa Privada Local,46.35,30.39,74.6,True,En Construcción,49.16,2020-08-07
PLANT_070,Pequeña Hidroeléctrica (PCH),Empresa Privada Local,110.76,131.58,33.6,True,Operación Comercial,27.29,2021-05-15
PLANT_071,Biomasa,Enel,74.75,395.3,47.4,True,Mantenimiento,25.63,2020-09-30
